"","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Affected_Renal","BILAG_severity","Steroid","Quinie","MMF","MTX","Azathrioprine","other_IS"
"MEdarkred",-0.283825558826183,0.205303094755605,-0.16219874755991,0.0641116551649096,0.0635649158221953,0.0723440110485965,-0.00166872817800156,0.134688233803072,-0.0661381640159866,0.143788063979238,-0.0302419592855293,0.0512554032101331,-0.118723020278396,0.0527721374538529,0.354132563122075
"MEblack",-0.206857154707444,0.0723880277415197,-0.333016432521699,0.184025711481567,0.217015595971477,-0.021888169666521,0.000558593064160432,0.0570905189995483,0.0300355101579733,0.215932139588465,-0.258486292824726,-0.121449060891234,-0.054235467723034,0.15332186878977,-0.0942692538985341
"MEbrown",-0.134822118486797,0.0153531776909251,-0.114130973121344,0.443785784131913,0.424602274284492,-0.0275909998057617,0.167834293053906,0.155048024570386,0.214646105077181,0.130674256886658,-0.142643927993015,-0.234438647978618,0.123535308631447,0.173491180554973,-0.0841129379797613
"MEpurple",-0.125250949145769,0.391915269886424,-0.0711978843378981,0.51892067701617,0.33818096948415,-0.238084973558703,0.0986536914569057,-0.0816131603778399,0.0114468715876968,-0.0725827804576425,-0.167614549903046,0.0187378003060358,-0.0381903989647843,-0.040744242167681,-0.0705483151713884
"MEroyalblue",-0.269732895822034,0.352907142372751,-0.0682474814052021,-0.0731652021149104,-0.154957421086049,-0.0448965588325941,-0.136816670769767,-0.0523328343062869,-0.381795949853267,0.244901934169023,0.129447974931643,0.289651827201249,0.010466226513881,0.027215003919812,-0.017386502964534
"MEmidnightblue",0.152443740835044,-0.0626215836494387,0.300019435240387,-0.0598749896811074,-0.140266835701075,-0.028611909844171,-0.0875474865646791,-0.186739545300166,-0.0759234058536443,0.144157012030755,-0.0946246107528605,-0.128987503453752,-0.00387036509945306,-0.215287715452511,-0.142696222551783
"MEgreen",-0.191355746623791,0.0127584209948586,0.419722605979024,0.233083511437981,0.30279280782002,-0.268771223972293,0.460042920940358,-0.221045497718426,0.265392839280176,-0.0874569641451229,0.113129987455679,-0.184734911967695,0.00433773820253705,-0.245051339372425,0.0114300346454696
"MEtan",0.0443933365789904,-0.0841260185309035,0.619067906597954,-0.118465161365847,-0.0977080722611068,-0.0193192488948063,0.183767024658025,-0.0801341278842528,-0.104972557212198,0.0932493212672205,0.280746585804088,-0.0752544430850873,-0.0885402429225672,-0.128333764014363,0.00928479670821417
"MEdarkgreen",0.215037248880125,-0.000667337968407001,-0.407531811875231,-0.363854323109709,-0.514446693261823,-0.108662322981744,-0.412645409696049,-0.189786251746165,-0.24113505069882,0.00976792696054221,-0.0199891754887237,0.17257615823272,0.00330386874570238,0.00295068987449902,-0.0138574656098453
"MEyellow",0.128586405076327,0.0314817626295046,-0.40190215135071,-0.105053138518556,-0.271392191550375,-0.332669025745396,-0.23844225641139,-0.199264457924394,-0.167381083063118,0.0404214691089485,-0.23145470796474,-0.118547562924183,0.108835551621769,0.0309867777358681,-0.120999115580867
"MEgrey60",0.130621418995437,0.126541441450726,-0.111445864900437,-0.0613515947394529,-0.131214947983757,-0.236248612975393,-0.0133834893487133,-0.099848601399243,-0.123362508771418,-0.0259960726491223,0.0589966468588344,-0.0180259534997364,-0.00452761363077017,0.0366193780602013,-0.0255829923931435
"MEblue",0.203370260890853,0.0778170626122665,-0.105232704966415,-0.404432523824814,-0.464730053751489,-0.0689242522027291,-0.252534365866364,-0.0959880825035585,-0.212303647376859,-0.109030077749805,0.16297758224021,0.210344377936243,-0.0871160960203707,-0.0504208077836151,0.0230964743983827
"MEturquoise",-0.00546635004664073,0.319944200263771,-0.230382002558447,-0.289316598841636,-0.354648105530215,-0.223987773157836,-0.234746531700829,0.110365630600204,-0.31772519736659,-0.142572231053363,0.180707919722457,-0.0287958623040702,-0.158677335071047,0.274531032630825,-0.0176578137582494
"MEred",0.162348938285701,0.0314224635590972,0.0226502411124629,-0.292449365796316,-0.292269506763325,0.0935362507407646,-0.171848383442289,0.12418838206163,-0.0365635229371696,-0.0313997582993149,0.0693798741745733,-0.100426420422331,-0.180411571534106,0.1806014438835,-0.11295998769071
"MEpink",-0.269962735813818,-0.0555322409150818,-0.091734717199525,-0.0926166527487822,-0.203572253645508,-0.229664251549364,-0.17880874833231,-0.104126800365647,-0.138890170311262,-0.0955464907686152,-0.198038598422415,-0.131570432421735,0.00310498355769204,-0.0823168263077565,-0.0788662004871139
"MEsalmon",-0.270445110973521,0.205922716497618,-0.0824605396529539,0.120095949968321,0.165654331082514,-0.0768951611022809,0.0769109989959961,-0.117515914605267,0.0532172301699929,-0.216717354601461,-0.0177390300595461,-0.155844421037887,-0.0472394048123069,-0.0655911294699287,-0.0514781987415417
"MEcyan",0.121446849363621,0.0246425188240088,0.10152012667356,0.0856141787827811,0.0167465900400674,-0.0141312153590496,-0.00976401254688627,0.275761767160315,0.110233521523718,-0.035349715114167,0.232728191254204,-0.133838587487589,0.0345530283470603,0.18057431260258,-0.0246536082314644
"MElightcyan",-0.0517528412831259,0.330232991803488,0.00517369114244722,0.0153268462217848,0.194079023827906,0.300312967194032,0.285595321820123,-0.105621991667256,0.18827301775819,-0.131395576245064,0.0862089487851668,-0.123658241682909,-0.0108742092942526,-0.0528426694564416,-0.0497621268245521
"MEgreenyellow",0.143778922850166,-0.165987855485918,0.0712810043098852,-0.309758187072174,-0.39605222714116,0.116607963095089,-0.311640823582168,-0.138160186789507,-0.00875370713446608,0.188466632170009,-0.0693298159634799,0.484982377544227,-0.0940842769967474,-0.167227415840555,-0.0504943457547246
"MEdarkgrey",0.151242510284728,0.194310258248711,-0.402686663467056,-0.308335895079457,-0.301178337054189,0.138684834262609,-0.251334135931245,0.173329237838926,-0.190651814654164,-0.231642584862252,0.0986169344740642,0.355259586862727,-0.151309490200558,0.0348748630004399,0.395002593486945
"MEdarkturquoise",0.195206918071589,0.0633129592687157,-0.0609802803300533,-0.156031539994316,-0.218255160517595,-0.0365102627407075,-0.122644723388895,0.033748114889883,-0.0781657433576993,-0.229725731428301,0.122851088654429,0.350800758585226,-0.0226187570797835,0.0477352793129372,-0.00273207430181302
"MElightgreen",0.032867897733798,0.214384671688293,0.190013185905289,0.00712436702195518,0.0471714849027289,0.163285543444833,0.138766436388691,0.199880114851076,0.157044602739158,-0.0523247598684883,0.185988066372576,0.115089036224669,-0.118963615644705,0.0510729840754999,0.287849674862272
"MElightyellow",0.173695294828817,0.0216147282117642,0.166389630112889,-0.368515893791798,-0.269060487389579,0.194644543980079,-0.0678093678649846,-0.00058668789270206,0.0155099906681799,-0.167369965481695,0.253123968406588,0.336881577306603,-0.159167955837226,-0.237592393436549,0.24750615061274
"MEmagenta",-0.0667145483975913,0.275586013696431,-0.0451671439725578,-0.231202261803898,-0.202267861241227,0.302935932741574,-0.101083291408856,0.279122878645459,-0.169472917571916,0.0447457884581781,0.144984889884515,0.344317807860309,-0.127558245549622,-0.109831300247786,0.560765801660516
"MEgrey",-0.156561399612838,0.16138249597675,0.125669409255396,0.187748293467847,0.301480810190632,0.0297876714809511,0.359986340040522,-0.00301724690894916,0.266093258081773,0.0898271568485629,-0.0377335336639461,-0.0526786231027596,0.00869290737770811,0.0277667886893246,0.0633307501747129
